
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:36:06 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:36:06 Found 1 device usable for the NTP daemon.
2025-07-29 17:36:06 Query-only mode, not updating SHM.
2025-07-29 17:36:06 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:37:40.5779108 1753810660.577910900 1753810660.577907801 +0.000002861, ltcy: 0.17 us, exec: 0.50 us, limit: 0.41 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:41.5781856 1753810661.578185558 1753810661.578182936 +0.000002384, ltcy: 0.17 us, exec: 0.29 us, limit: 0.41 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:42.5784960 1753810662.578495979 1753810662.578494072 +0.000001669, ltcy: 0.23 us, exec: 0.21 us, limit: 0.41 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:43.5787443 1753810663.578744411 1753810663.578742743 +0.000001431, ltcy: 0.18 us, exec: 0.46 us, limit: 0.41 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:44.5789713 1753810664.578971386 1753810664.578970194 +0.000000954, ltcy: 0.20 us, exec: 0.39 us, limit: 0.41 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:45.5792619 1753810665.579262018 1753810665.579261303 +0.000000477, ltcy: 0.16 us, exec: 0.30 us, limit: 0.41 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:46.5795512 1753810666.579551220 1753810666.579551458 -0.000000477, ltcy: 0.16 us, exec: 0.29 us, limit: 0.41 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:47.5798279 1753810667.579828024 1753810667.579828739 -0.000000715, ltcy: 0.04 us, exec: 0.08 us, limit: 0.40 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:48.5799665 1753810668.579966545 1753810668.579966545 -0.000000238, ltcy: 0.28 us, exec: 0.34 us, limit: 0.40 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:49.5802205 1753810669.580220461 1753810669.580221415 -0.000001192, ltcy: 0.18 us, exec: 0.47 us, limit: 0.41 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:50.5805167 1753810670.580516815 1753810670.580518484 -0.000001907, ltcy: 0.25 us, exec: 0.47 us, limit: 0.41 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:51.5807353 1753810671.580735445 1753810671.580736876 -0.000001669, ltcy: 0.21 us, exec: 0.28 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:52.5809796 1753810672.580979586 1753810672.580980778 -0.000001431, ltcy: 0.20 us, exec: 0.28 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:53.5812005 1753810673.581200600 1753810673.581201077 -0.000000715, ltcy: 0.22 us, exec: 0.56 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:54.5815059 1753810674.581506014 1753810674.581506968 -0.000001192, ltcy: 0.20 us, exec: 0.25 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:55.5817356 1753810675.581735611 1753810675.581736088 -0.000000715, ltcy: 0.21 us, exec: 0.46 us, limit: 0.40 us, st: 0x0014, NTP leap: 0x00
