
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:42:32 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:42:32 Found 1 device usable for the NTP daemon.
2025-07-29 17:42:32 Query-only mode, not updating SHM.
2025-07-29 17:42:32 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:43:49.0418585 1753811029.041858673 1753811029.041849852 +0.000008583, ltcy: 0.14 us, exec: 0.21 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:43:50.0421112 1753811030.042111397 1753811030.042104959 +0.000006199, ltcy: 0.19 us, exec: 0.34 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:51.0423638 1753811031.042363882 1753811031.042359352 +0.000004292, ltcy: 0.19 us, exec: 0.50 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:52.0426521 1753811032.042652130 1753811032.042650938 +0.000000954, ltcy: 0.18 us, exec: 0.33 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:53.0429171 1753811033.042917013 1753811033.042916775 +0.000000000, ltcy: 0.20 us, exec: 0.31 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:54.0432145 1753811034.043214560 1753811034.043214560 -0.000000238, ltcy: 0.18 us, exec: 0.37 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:55.0434352 1753811035.043435097 1753811035.043434620 +0.000000238, ltcy: 0.19 us, exec: 0.48 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:56.0436877 1753811036.043687820 1753811036.043687820 -0.000000238, ltcy: 0.19 us, exec: 0.49 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:57.0439264 1753811037.043926477 1753811037.043926001 +0.000000238, ltcy: 0.28 us, exec: 0.49 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:58.0442075 1753811038.044207573 1753811038.044205427 +0.000001907, ltcy: 0.20 us, exec: 0.51 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:59.0444597 1753811039.044459820 1753811039.044452667 +0.000006914, ltcy: 0.20 us, exec: 0.47 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:00.0447851 1753811040.044785023 1753811040.044776678 +0.000008106, ltcy: 0.18 us, exec: 0.32 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:01.0450322 1753811041.045032263 1753811041.045021296 +0.000010729, ltcy: 0.19 us, exec: 0.42 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:02.0452910 1753811042.045290947 1753811042.045279026 +0.000011683, ltcy: 0.19 us, exec: 0.51 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:03.0455167 1753811043.045516729 1753811043.045507669 +0.000008821, ltcy: 0.19 us, exec: 0.38 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:04.0457300 1753811044.045730114 1753811044.045723200 +0.000006676, ltcy: 0.18 us, exec: 0.30 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:05.0460095 1753811045.046009541 1753811045.046003103 +0.000006199, ltcy: 0.19 us, exec: 0.29 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:06.0462338 1753811046.046233892 1753811046.046226263 +0.000007391, ltcy: 0.19 us, exec: 0.47 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:07.0465340 1753811047.046534061 1753811047.046526909 +0.000006914, ltcy: 0.19 us, exec: 0.30 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:08.0467670 1753811048.046766996 1753811048.046762466 +0.000004292, ltcy: 0.21 us, exec: 0.48 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:09.0469865 1753811049.046986580 1753811049.046982527 +0.000003815, ltcy: 0.17 us, exec: 0.29 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
