
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-09 14:43:34 PC cycles counter frequency: 2900000000 Hz
2025-07-09 14:43:34 Found 1 device usable for the NTP daemon.
2025-07-09 14:43:34 Query-only mode, not updating SHM.
2025-07-09 14:43:34 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-09 14:44:33.1661261 1752072273.166126251 1752072273.166296244 -0.000170231, ltcy: 0.18 us, exec: 0.32 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:34.1663712 1752072274.166371346 1752072274.166545630 -0.000174522, ltcy: 0.18 us, exec: 0.32 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:35.1666179 1752072275.166618109 1752072275.166791201 -0.000173330, ltcy: 0.19 us, exec: 0.32 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:36.1668923 1752072276.166892290 1752072276.167064667 -0.000172615, ltcy: 0.19 us, exec: 0.33 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:37.1671401 1752072277.167140007 1752072277.167314768 -0.000174999, ltcy: 0.18 us, exec: 0.31 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:38.1673768 1752072278.167376757 1752072278.167554855 -0.000178337, ltcy: 0.18 us, exec: 0.34 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:39.1676254 1752072279.167625427 1752072279.167797804 -0.000172615, ltcy: 0.18 us, exec: 0.32 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:40.1678988 1752072280.167898893 1752072280.168062925 -0.000164270, ltcy: 0.16 us, exec: 0.32 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:41.1681569 1752072281.168156862 1752072281.168312073 -0.000155449, ltcy: 0.17 us, exec: 0.38 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:42.1684133 1752072282.168413401 1752072282.168558598 -0.000145435, ltcy: 0.15 us, exec: 0.52 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:43.1686734 1752072283.168673515 1752072283.168811083 -0.000137806, ltcy: 0.15 us, exec: 0.52 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:44.1689371 1752072284.168937206 1752072284.169077158 -0.000140190, ltcy: 0.18 us, exec: 0.31 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:45.1691723 1752072285.169172287 1752072285.169315577 -0.000143290, ltcy: 0.05 us, exec: 0.17 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:46.1693622 1752072286.169362307 1752072286.169519663 -0.000157595, ltcy: 0.19 us, exec: 0.29 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:47.1696218 1752072287.169621706 1752072287.169779301 -0.000157833, ltcy: 0.16 us, exec: 0.53 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:48.1699083 1752072288.169908285 1752072288.170058250 -0.000150204, ltcy: 0.16 us, exec: 0.52 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:49.1701484 1752072289.170148373 1752072289.170303822 -0.000155687, ltcy: 0.14 us, exec: 0.22 us, limit: 0.35 us, st: 0x0015, NTP leap: 0x03
2025-07-09 14:44:50 GNS181PEX: Is now synchronized
GNS181PEX: 2025-07-09 14:44:50.1704035 1752072290.170403481 1752072290.170563221 -0.000159979, ltcy: 0.16 us, exec: 0.32 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:51.1706895 1752072291.170689583 1752072291.170854092 -0.000164747, ltcy: 0.19 us, exec: 0.32 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:52.1709182 1752072292.170918226 1752072292.171088219 -0.000169992, ltcy: 0.09 us, exec: 0.15 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:53.1711174 1752072293.171117544 1752072293.171286583 -0.000169277, ltcy: 0.16 us, exec: 0.38 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:54.1713814 1752072294.171381474 1752072294.171544790 -0.000163555, ltcy: 0.16 us, exec: 0.40 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:55.1716289 1752072295.171628952 1752072295.171790600 -0.000161886, ltcy: 0.18 us, exec: 0.33 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:56.1719049 1752072296.171904802 1752072296.172068119 -0.000163555, ltcy: 0.18 us, exec: 0.33 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:57.1721462 1752072297.172146320 1752072297.172305346 -0.000159025, ltcy: 0.07 us, exec: 0.12 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:58.1723400 1752072298.172340155 1752072298.172501087 -0.000160933, ltcy: 0.05 us, exec: 0.09 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:59.1725223 1752072299.172522306 1752072299.172689915 -0.000167847, ltcy: 0.18 us, exec: 0.29 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:00.1727966 1752072300.172796726 1752072300.172954798 -0.000158310, ltcy: 0.19 us, exec: 0.30 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:01.1730409 1752072301.173041105 1752072301.173197031 -0.000156164, ltcy: 0.16 us, exec: 0.33 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:02.1732934 1752072302.173293352 1752072302.173454285 -0.000161171, ltcy: 0.18 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:03.1735360 1752072303.173536062 1752072303.173691273 -0.000155449, ltcy: 0.18 us, exec: 0.38 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:04.1737782 1752072304.173778296 1752072304.173933744 -0.000155687, ltcy: 0.16 us, exec: 0.31 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:05.1740006 1752072305.174000502 1752072305.174161196 -0.000160933, ltcy: 0.18 us, exec: 0.33 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:06.1742455 1752072306.174245596 1752072306.174405098 -0.000159740, ltcy: 0.16 us, exec: 0.32 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:07.1744751 1752072307.174475193 1752072307.174623489 -0.000148535, ltcy: 0.23 us, exec: 0.40 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:08.1747610 1752072308.174761057 1752072308.174904346 -0.000143528, ltcy: 0.18 us, exec: 0.34 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:09.1750174 1752072309.175017357 1752072309.175159454 -0.000142336, ltcy: 0.18 us, exec: 0.33 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:10.1752907 1752072310.175290823 1752072310.175429344 -0.000138760, ltcy: 0.19 us, exec: 0.32 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:11.1755289 1752072311.175529003 1752072311.175664902 -0.000136137, ltcy: 0.18 us, exec: 0.33 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
